kol_id,kol_name,platform,followers,field,price,avg_likes,avg_comments,engagement_rate,conversion_rate,audience,cooperation_count,risk_note
KOL_001,校园成长Ada,小红书,50000,校园/职场,1200,1800,120,3.8,3.5,大学生、应届生、18-25岁,15,广告比例较高
KOL_002,职场小白成长记,抖音,120000,职场/技能,3500,5000,300,4.2,4.1,职场新人、25-30岁,28,数据真实
KOL_003,美妆种草姬,小红书,80000,美妆/护肤,2800,3200,180,4.0,3.8,18-28岁女性、学生党,42,无风险
KOL_004,科技数码君,B站,150000,科技/数码,4500,6000,400,4.3,3.2,科技爱好者、18-35岁男性,35,数据真实
KOL_005,美食探店小分队,抖音,200000,美食/探店,6000,8000,500,4.0,3.6,美食爱好者、20-40岁,50,无风险
KOL_006,大学生活指南,小红书,75000,校园/生活,1800,2800,150,3.9,3.4,大学生、18-22岁,20,无风险
KOL_007,职场效率提升,微博,90000,职场/效率,2500,3500,200,3.9,3.3,职场人士、25-35岁,18,数据真实
KOL_008,旅行摄影师小王,小红书,110000,旅游/摄影,3800,4500,250,4.1,2.8,旅游爱好者、25-40岁,32,无风险
KOL_009,健身达人小李,抖音,95000,健身/运动,2800,3800,220,4.0,3.7,健身爱好者、20-35岁,25,数据真实
KOL_010,母婴育儿经,小红书,130000,母婴/育儿,4200,5500,350,4.2,4.0,宝妈、25-40岁,45,无风险
KOL_011,应届生求职攻略,B站,145000,职场/求职,4000,5800,380,4.1,3.9,应届生、大四学生,30,数据真实
KOL_012,校园生活记录者,抖音,60000,校园/生活,1500,2200,130,3.7,3.2,大学生、18-23岁,12,无风险
KOL_013,美妆教程小课堂,抖音,180000,美妆/教程,5500,7200,450,4.3,3.9,18-30岁女性,55,数据真实
KOL_014,科技评测室,B站,220000,科技/评测,7000,9000,600,4.2,3.4,科技爱好者、20-40岁男性,48,无风险
KOL_015,美食烹饪日记,小红书,85000,美食/烹饪,2600,3400,190,4.0,3.5,美食爱好者、25-45岁,28,无风险
KOL_016,大学生省钱攻略,小红书,68000,校园/省钱,1600,2500,140,3.8,3.6,大学生、学生党,18,数据真实
KOL_017,职场穿搭指南,小红书,105000,职场/穿搭,3200,4200,240,3.9,3.3,职场女性、25-35岁,38,无风险
KOL_018,旅行vlog记录,抖音,160000,旅游/vlog,5000,6500,400,4.1,2.9,旅游爱好者、20-40岁,40,数据真实
KOL_019,健身减脂教练,小红书,78000,健身/减脂,2400,3100,180,3.9,3.8,健身人群、20-35岁,22,无风险
KOL_020,母婴好物推荐,抖音,140000,母婴/好物,4500,6000,380,4.2,4.1,宝妈、新手妈妈,50,数据真实
KOL_021,职场新人成长日记,小红书,92000,职场/成长,2800,3600,210,3.8,3.4,职场新人、22-28岁,24,无风险
KOL_022,校园达人小李,微博,88000,校园/生活,2000,3000,170,3.6,3.1,大学生、18-24岁,15,广告比例较高
KOL_023,美妆护肤小课堂,小红书,125000,美妆/护肤,4000,5200,320,4.1,3.9,18-30岁女性,48,数据真实
KOL_024,科技前沿观察,微博,135000,科技/资讯,4200,5500,350,4.0,3.0,科技爱好者、25-45岁,32,无风险
KOL_025,美食探店达人,小红书,95000,美食/探店,3000,3900,230,4.0,3.6,美食爱好者、20-40岁,35,数据真实
KOL_026,大学生兼职指南,小红书,55000,校园/兼职,1300,1900,110,3.6,3.3,大学生、18-23岁,10,无风险
KOL_027,职场技能提升,B站,115000,职场/技能,3600,4800,300,4.0,3.5,职场人士、25-35岁,28,数据真实
KOL_028,旅行攻略分享,小红书,102000,旅游/攻略,3400,4300,260,3.9,3.0,旅游爱好者、25-40岁,30,无风险
KOL_029,健身训练营,抖音,108000,健身/训练,3300,4400,270,4.0,3.7,健身人群、20-35岁,26,数据真实
KOL_030,母婴知识科普,小红书,118000,母婴/科普,3800,5000,310,4.1,3.9,宝妈、准妈妈,42,无风险
KOL_031,应届生就业指导,B站,128000,职场/就业,3900,5200,330,4.0,3.8,应届生、大四学生,32,数据真实
KOL_032,校园美食探店,抖音,62000,校园/美食,1550,2300,135,3.7,3.3,大学生、18-24岁,14,无风险
KOL_033,美妆新品测评,抖音,175000,美妆/测评,5200,6800,420,4.2,3.8,18-30岁女性,52,数据真实
KOL_034,科技产品开箱,B站,195000,科技/开箱,6200,8200,520,4.3,3.3,科技爱好者、20-40岁,45,无风险
KOL_035,美食制作教程,抖音,88000,美食/教程,2700,3500,200,3.9,3.5,美食爱好者、25-45岁,25,数据真实
KOL_036,大学生成长笔记,抖音,58000,校园/成长,1400,2100,125,3.6,3.2,大学生、18-23岁,11,无风险
KOL_037,职场沟通技巧,小红书,98000,职场/沟通,3000,3900,230,3.9,3.4,职场人士、25-35岁,27,数据真实
KOL_038,旅行摄影技巧,B站,112000,旅游/摄影,3700,4900,300,4.0,2.9,摄影爱好者、25-40岁,28,无风险
KOL_039,健身营养搭配,小红书,82000,健身/营养,2500,3300,190,3.9,3.7,健身人群、20-35岁,23,数据真实
KOL_040,母婴产品测评,抖音,135000,母婴/测评,4300,5700,360,4.1,4.0,宝妈、新手妈妈,48,无风险
KOL_041,职场面试技巧,B站,122000,职场/面试,3800,5100,320,4.0,3.8,求职者、应届生,30,数据真实
KOL_042,校园穿搭日记,小红书,72000,校园/穿搭,1750,2600,145,3.8,3.4,大学生、18-24岁女性,16,无风险
KOL_043,美妆平价好物,小红书,115000,美妆/平价,3600,4700,290,4.0,3.9,18-28岁女性、学生党,45,数据真实
KOL_044,科技趋势分析,微博,142000,科技/趋势,4400,5700,360,4.0,3.1,科技从业者、25-45岁,35,无风险
KOL_045,美食探店vlog,抖音,92000,美食/探店,2900,3800,220,4.0,3.6,美食爱好者、20-40岁,26,数据真实
KOL_046,大学生考研日记,小红书,65000,校园/考研,1650,2400,140,3.7,3.3,大学生、考研党,13,无风险
KOL_047,职场时间管理,小红书,105000,职场/效率,3200,4200,250,3.9,3.4,职场人士、25-35岁,29,数据真实
KOL_048,旅行民宿推荐,小红书,98000,旅游/民宿,3100,4000,240,3.9,3.0,旅游爱好者、25-40岁,28,无风险
KOL_049,健身器材测评,B站,118000,健身/器材,3700,4900,300,4.0,3.6,健身爱好者、20-35岁,27,数据真实
KOL_050,母婴早教指南,小红书,125000,母婴/早教,4000,5300,330,4.1,3.9,宝妈、0-3岁孩子家长,44,无风险
KOL_051,应届生简历指导,B站,108000,职场/简历,3400,4600,280,4.0,3.8,应届生、求职者,26,数据真实
KOL_052,校园社团活动,抖音,56000,校园/社团,1350,2000,120,3.6,3.1,大学生、18-23岁,10,无风险
KOL_053,美妆工具推荐,小红书,108000,美妆/工具,3400,4500,270,4.0,3.8,18-30岁女性,40,数据真实
KOL_054,科技智能家居,B站,168000,科技/智能家居,5300,7000,440,4.2,3.3,科技爱好者、25-45岁,38,无风险
KOL_055,美食减脂餐,小红书,86000,美食/减脂,2650,3450,200,3.9,3.7,健身人群、减脂人群,24,数据真实
KOL_056,大学生租房攻略,小红书,61000,校园/租房,1500,2200,130,3.7,3.3,大学生、毕业生,12,无风险
KOL_057,职场副业指南,抖音,112000,职场/副业,3500,4700,290,4.0,3.5,职场人士、25-35岁,30,数据真实
KOL_058,旅行穷游攻略,抖音,95000,旅游/穷游,2900,3800,230,4.0,3.1,学生、年轻人,25,无风险
